,condition
GSM773540,Tumor
GSM773541,Tumor
GSM773542,Tumor
GSM773543,Tumor
GSM773544,Tumor
GSM773545,Tumor
GSM773546,Tumor
GSM773547,Tumor
GSM773548,Tumor
GSM773549,Tumor
GSM773550,Tumor
GSM773551,Tumor
GSM773552,Tumor
GSM773553,Tumor
GSM773554,Tumor
GSM773555,Tumor
GSM773556,Tumor
GSM773557,Tumor
GSM773558,Tumor
GSM773559,Tumor
GSM773560,Tumor
GSM773561,Tumor
GSM773562,Tumor
GSM773563,Tumor
GSM773564,Tumor
GSM773565,Tumor
GSM773566,Tumor
GSM773567,Tumor
GSM773568,Tumor
GSM773569,Tumor
GSM773570,Tumor
GSM773571,Tumor
GSM773572,Tumor
GSM773573,Tumor
GSM773574,Tumor
GSM773575,Tumor
GSM773576,Tumor
GSM773577,Tumor
GSM773578,Tumor
GSM773579,Tumor
GSM773580,Tumor
GSM773581,Tumor
GSM773582,Tumor
GSM773583,Tumor
GSM773584,Tumor
GSM773585,Tumor
GSM773586,Tumor
GSM773587,Tumor
GSM773588,Tumor
GSM773589,Tumor
GSM773590,Tumor
GSM773591,Tumor
GSM773592,Tumor
GSM773593,Tumor
GSM773594,Tumor
GSM773595,Tumor
GSM773596,Tumor
GSM773597,Tumor
GSM773598,Tumor
GSM773599,Tumor
GSM773600,Tumor
GSM773601,Tumor
GSM773602,Tumor
GSM773603,Tumor
GSM773604,Tumor
GSM773605,Tumor
GSM773606,Tumor
GSM773607,Tumor
GSM773608,Tumor
GSM773609,Tumor
GSM773610,Tumor
GSM773611,Tumor
GSM773612,Tumor
GSM773613,Tumor
GSM773614,Tumor
GSM773615,Tumor
GSM773616,Tumor
GSM773617,Tumor
GSM773618,Tumor
GSM773619,Tumor
GSM773620,Tumor
GSM773621,Tumor
GSM773622,Tumor
GSM773623,Tumor
GSM773624,Tumor
GSM773625,Tumor
GSM773626,Tumor
GSM773627,Tumor
GSM773628,Tumor
GSM773629,Tumor
GSM773630,Tumor
GSM773631,Tumor
GSM773632,Tumor
GSM773633,Tumor
GSM773634,Tumor
GSM773635,Tumor
GSM773636,Tumor
GSM773637,Tumor
GSM773638,Tumor
GSM773639,Tumor
GSM773640,Tumor
GSM773641,Tumor
GSM773642,Tumor
GSM773643,Tumor
GSM773644,Tumor
GSM773645,Tumor
GSM773646,Tumor
GSM773647,Tumor
GSM773648,Tumor
GSM773649,Tumor
GSM773650,Tumor
GSM773651,Tumor
GSM773652,Tumor
GSM773653,Tumor
GSM773654,Tumor
GSM773655,Tumor
GSM773656,Tumor
GSM773657,Tumor
GSM773658,Tumor
GSM773659,Tumor
GSM773660,Tumor
GSM773661,Tumor
GSM773662,Tumor
GSM773663,Tumor
GSM773664,Tumor
GSM773665,Tumor
GSM773666,Tumor
GSM773667,Tumor
GSM773668,Tumor
GSM773669,Tumor
GSM773670,Tumor
GSM773671,Tumor
GSM773672,Tumor
GSM773673,Tumor
GSM773674,Tumor
GSM773675,Tumor
GSM773676,Tumor
GSM773677,Tumor
GSM773678,Tumor
GSM773679,Tumor
GSM773680,Tumor
GSM773681,Tumor
GSM773682,Tumor
GSM773683,Tumor
GSM773684,Tumor
GSM773685,Tumor
GSM773686,Tumor
GSM773687,Tumor
GSM773688,Tumor
GSM773689,Tumor
GSM773690,Tumor
GSM773691,Tumor
GSM773692,Tumor
GSM773693,Tumor
GSM773694,Tumor
GSM773695,Tumor
GSM773696,Tumor
GSM773697,Tumor
GSM773698,Tumor
GSM773699,Tumor
GSM773700,Tumor
GSM773701,Tumor
GSM773702,Tumor
GSM773703,Tumor
GSM773704,Tumor
GSM773705,Tumor
GSM773706,Tumor
GSM773707,Tumor
GSM773708,Tumor
GSM773709,Tumor
GSM773710,Tumor
GSM773711,Tumor
GSM773712,Tumor
GSM773713,Tumor
GSM773714,Tumor
GSM773715,Tumor
GSM773716,Tumor
GSM773717,Tumor
GSM773718,Tumor
GSM773719,Tumor
GSM773720,Tumor
GSM773721,Tumor
GSM773722,Tumor
GSM773723,Tumor
GSM773724,Tumor
GSM773725,Tumor
GSM773726,Tumor
GSM773727,Tumor
GSM773728,Tumor
GSM773729,Tumor
GSM773730,Tumor
GSM773731,Tumor
GSM773732,Tumor
GSM773733,Tumor
GSM773734,Tumor
GSM773735,Tumor
GSM773736,Tumor
GSM773737,Tumor
GSM773738,Tumor
GSM773739,Tumor
GSM773740,Tumor
GSM773741,Tumor
GSM773742,Tumor
GSM773743,Tumor
GSM773744,Tumor
GSM773745,Tumor
GSM773746,Tumor
GSM773747,Tumor
GSM773748,Tumor
GSM773749,Tumor
GSM773750,Tumor
GSM773751,Tumor
GSM773752,Tumor
GSM773753,Tumor
GSM773754,Tumor
GSM773755,Tumor
GSM773756,Tumor
GSM773757,Tumor
GSM773758,Tumor
GSM773759,Tumor
GSM773760,Tumor
GSM773761,Tumor
GSM773762,Tumor
GSM773763,Tumor
GSM773764,Tumor
GSM773765,Tumor
GSM773766,Normal
GSM773767,Normal
GSM773768,Normal
GSM773769,Normal
GSM773770,Normal
GSM773771,Normal
GSM773772,Normal
GSM773773,Normal
GSM773774,Normal
GSM773775,Normal
GSM773776,Normal
GSM773777,Normal
GSM773778,Normal
GSM773779,Normal
GSM773780,Normal
GSM773781,Normal
GSM773782,Normal
GSM773783,Normal
GSM773784,Normal
GSM773785,Normal
