"","logFC","t","P.Value","adj.P.Val","B"
"DLGAP5",5.41139430488835,18.5375724601606,5.78736875685974e-61,5.0786431338867e-60,127.97369122361
"KIF20A",4.79188634378747,18.5242736059383,6.7715241785156e-61,5.0786431338867e-60,127.817758740067
"ORC1",4.08128346329485,15.4501205658961,1.45333456058864e-45,7.26667280294321e-45,92.7741419489065
"CENPI",3.90747821211601,14.8737396469443,8.24349762185436e-43,3.09131160819538e-42,86.4828568131594
"FGF2",-3.05838067660058,-11.626360261535,2.58335959435909e-28,7.75007878307727e-28,53.3988352959896
"DNMT3B",2.83690669138656,11.089745416889,4.0385457836671e-26,1.00963644591678e-25,48.3995922710347
"RAB3B",4.78525668601323,9.59381180397587,2.37086089042214e-20,5.08041619376172e-20,35.285857903277
"HMGA2",4.58318372864781,6.36027767260339,4.07891290347243e-10,7.6479616940108e-10,12.1802461089318
"IGF2BP1",4.80560093913328,6.20192477802441,1.10648936882207e-09,1.84414894803678e-09,11.2693441383938
"MYCN",2.91605065996983,6.06335635457246,2.37274505960821e-09,3.55911758941231e-09,10.4294244053208
"INHBE",3.32273185935237,5.97149103402459,4.49379283341100e-09,6.12789931828772e-09,10.0197982882622
"SOHLH2",3.36733480085204,5.40167506195555,1.01562637105771e-07,1.26953296382214e-07,7.02640491249053
"NMNAT2",2.25236780890956,4.75902141170504,2.44260343157912e-06,2.81838857489898e-06,3.70382145630522
"ALX1",2.6994976635338,4.5214300610935,8.3374369617822e-06,8.93296817333808e-06,2.76703979929596
"LIN28B",5.19043327639415,2.48581352730186,0.0137430045892772,0.0137430045892772,-3.27507750613023
